"Team No." SAC L1 L2 L3 L4 L5 L6 L7 L8
0 0 1 8 3 5 7 2 6 4
1 0 1 6 5 8 2 3 7 4
2 0 8 5 4 2 1 3 6 7
3 0 8 3 2 1 4 7 6 5
4 0 4 3 6 2 5 8 7 1
5 0 5 8 1 4 3 7 2 6
6 0 8 5 1 7 6 3 4 2
7 0 4 8 5 1 6 3 7 2
8 0 2 1 5 4 8 3 6 7
9 0 6 1 8 2 4 7 5 3
10 0 8 7 3 5 6 4 1 2
11 0 4 1 6 5 8 2 3 7
12 0 4 3 5 1 7 2 8 6
13 0 8 5 4 6 1 7 3 2
14 0 3 8 6 2 7 5 4 1
15 0 3 7 8 4 5 1 6 2
16 0 1 7 8 2 4 6 3 5
17 0 7 8 4 2 3 6 1 5
18 0 8 4 3 5 7 2 1 6
19 0 2 8 4 3 6 7 1 5
20 0 3 7 1 6 8 4 2 5
21 0 5 2 1 3 8 7 4 6
22 0 8 6 2 1 3 4 5 7
23 0 8 5 2 3 1 4 7 6
24 0 7 5 4 8 3 2 1 6
25 0 4 5 8 7 1 6 3 2
26 0 8 1 4 2 7 5 6 3
27 0 1 8 7 4 2 5 3 6
28 0 4 6 8 5 7 2 3 1
29 0 1 8 3 2 7 6 5 4
30 0 8 6 7 1 5 4 3 2
31 0 4 7 2 8 6 5 3 1
32 0 8 3 4 6 5 1 7 2
33 0 8 6 3 1 5 7 4 2
34 0 6 8 2 4 1 3 5 7
35 0 8 2 6 4 7 5 1 3
36 0 2 5 4 7 8 1 3 6
37 0 3 8 2 4 5 7 6 1
38 0 1 4 8 2 7 6 3 5
39 0 6 7 8 2 4 5 1 3
40 0 8 5 7 2 4 6 3 1
41 0 2 3 6 7 8 5 4 1
42 0 4 6 8 2 7 3 1 5
43 0 7 8 2 5 4 1 3 6
44 0 1 3 7 8 5 2 4 6
45 0 1 5 8 2 4 3 7 6
46 0 2 5 7 6 1 8 4 3
47 0 5 7 8 6 4 1 3 2
48 0 7 8 1 3 6 5 2 4
49 0 1 8 7 5 4 6 3 2
50 0 8 6 5 3 2 1 4 7
51 0 4 8 6 3 1 7 2 5
52 0 8 3 2 4 5 7 1 6
53 0 8 5 3 1 2 6 7 4
54 0 6 8 5 7 4 1 2 3
55 0 1 5 2 3 8 4 7 6
56 0 2 5 8 1 3 6 4 7
57 0 4 3 6 5 2 1 7 8
58 0 6 8 4 7 3 2 1 5
59 0 8 1 2 6 4 7 5 3
60 0 2 8 6 3 7 1 4 5
61 0 6 5 1 3 8 4 2 7
62 0 8 7 4 2 3 5 1 6
63 0 2 1 7 8 4 6 5 3
64 0 8 6 5 3 4 2 7 1
65 0 8 6 1 5 7 4 3 2
66 0 3 8 4 2 5 6 1 7
67 0 2 7 1 8 4 6 3 5
68 0 7 1 4 8 6 2 3 5
69 0 8 6 1 2 4 3 7 5
70 0 3 8 1 5 4 6 2 7
71 0 7 4 8 5 3 1 2 6
72 0 6 1 8 2 7 3 4 5
73 0 3 7 2 1 8 4 6 5
74 0 1 2 7 8 5 4 3 6
75 0 8 1 7 2 5 4 3 6
76 0 8 1 2 4 3 5 6 7
77 0 7 4 8 3 1 5 6 2
78 0 8 3 6 2 7 4 1 5
79 0 2 4 8 3 7 1 6 5
80 0 8 2 1 7 6 5 4 3
81 0 8 6 7 2 5 3 4 1
82 0 8 2 5 7 6 1 4 3
83 0 4 6 3 7 5 8 1 2
84 0 5 2 7 8 6 4 3 1
85 0 1 8 3 5 4 6 2 7
86 0 5 8 7 1 6 3 2 4
87 0 2 4 8 6 5 3 1 7
88 0 8 7 6 2 1 4 3 5
89 0 6 1 5 4 8 3 2 7
90 0 2 8 3 4 6 7 5 1
91 0 8 5 3 7 2 4 1 6
92 0 7 8 1 4 2 6 3 5
93 0 4 1 7 6 3 2 8 5
94 0 7 3 4 8 5 1 2 6
95 0 5 7 4 2 3 1 8 6
96 0 1 5 2 4 8 3 7 6
97 0 6 1 8 3 2 7 5 4
98 0 6 1 2 4 8 5 3 7
99 0 4 2 8 5 3 6 1 7
